task,BatchNormalization8,BatchNormalization256,BatchNormalization1024,BatchNormalization16,BatchNormalization512,BatchNormalization32,BatchNormalization128,BatchNormalization64,Conv2D1024,Conv2D64,Conv2D128,Conv2D256,Conv2D512,Dense16,Dense8,Dense256,Dense64,Dense512,Dense32,Dense128,Dense1024
batch_normalization_58,68291,68959,69029,68968,68954,68968,68968,68968,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_59,81098,81715,80859,81722,81709,81722,81722,81722,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_65,81313,81895,80359,81902,81889,81902,81902,81902,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_62,80566,80598,81294,80605,80592,80605,80605,80605,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_61,80950,80860,80473,80867,80854,80867,80867,80867,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_70,81682,81629,80468,81636,81623,81636,81636,81636,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_66,81415,79898,80093,79905,79892,79905,79905,79905,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_63,81984,82686,81670,82693,82680,82693,82693,82693,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_67,81203,80815,80782,80822,80809,80822,80822,80822,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_64,81084,81638,80778,81645,81632,81645,81645,81645,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_68,80947,80848,81582,80855,80842,80855,80855,80855,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_69,80787,81560,80368,81567,81554,81567,81567,81567,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_73,81004,81867,81168,81874,81861,81874,81874,81874,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_71,81299,81029,80796,81036,81023,81036,81036,81036,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_74,81551,81981,80447,81988,81975,81988,81988,81988,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_72,28984,29286,29889,29296,29281,29296,29296,29296,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_75,81685,80528,80966,80535,80522,80535,80535,80535,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_76,18981,18574,20635,18588,18571,18588,18580,18588,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_81,37873,37057,38703,37063,37050,37063,37063,37063,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_78,35036,34451,34125,34459,34445,34459,34459,34459,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_77,29176,29064,29288,29074,29059,29074,29074,29074,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_85,19664,20342,19581,20356,20339,20356,20348,20356,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_82,34082,33413,35273,33421,33407,33421,33421,33421,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_79,35561,35078,36353,35086,35072,35086,35086,35086,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_80,34672,33130,33142,33138,33124,33138,33138,33138,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_83,33064,33435,33746,33443,33429,33443,33443,33443,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_84,32677,32762,34873,32770,32756,32770,32770,32770,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_90,41201,41046,39515,41052,41039,41052,41052,41052,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_87,33524,34090,35159,34098,34084,34098,34098,34098,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_86,30120,30102,29146,30112,30097,30112,30112,30112,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_94,19400,18763,19772,18777,18760,18777,18769,18777,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_91,35043,34157,33695,34165,34151,34165,34165,34165,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_88,35280,35034,34204,35042,35028,35042,35042,35042,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_89,33032,33726,34471,33734,33720,33734,33734,33734,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_92,35703,35060,35161,35068,35054,35068,35068,35068,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_93,37502,36286,35822,36294,36280,36294,36294,36294,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_1,inf,inf,inf,inf,inf,inf,inf,inf,723970,726311,723508,723508,723378,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_2,inf,inf,inf,inf,inf,inf,inf,inf,988334,3136469,1580471,992056,989956,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_3,inf,inf,inf,inf,inf,inf,inf,inf,1452996,6258395,3147052,1593959,1452337,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_4,inf,inf,inf,inf,inf,inf,inf,inf,517768,522996,519657,520454,517755,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_5,inf,inf,inf,inf,inf,inf,inf,inf,1068648,11014637,5570479,2847736,1486657,inf,inf,inf,inf,inf,inf,inf,inf
