task,BatchNormalizationNS8,BatchNormalizationNS256,BatchNormalizationNS64,BatchNormalizationNS32,BatchNormalizationNS512,BatchNormalizationNS1024,BatchNormalizationNS16,BatchNormalizationNS128,Conv2DNS1024,Conv2DNS128,Conv2DNS64,Conv2DNS512,Conv2DNS256,DenseNS512,DenseNS128,DenseNS1024,DenseNS256,DenseNS64,DenseNS16,DenseNS8,DenseNS32
bn3a_branch2a,12544,392,1568,3136,196,98,6272,784,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bn3a_branch1,50176,1568,6272,12544,784,392,25088,3136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res3a_branch2b,-1,-1,-1,-1,-1,-1,-1,-1,112896,903168,1806336,225792,451584,-1,-1,-1,-1,-1,-1,-1,-1
bn3a_branch2b,12544,392,1568,3136,196,98,6272,784,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res3a_branch2c,-1,-1,-1,-1,-1,-1,-1,-1,50176,401408,802816,100352,200704,-1,-1,-1,-1,-1,-1,-1,-1
bn3a_branch2c,50176,1568,6272,12544,784,392,25088,3136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res3b_branch2a,-1,-1,-1,-1,-1,-1,-1,-1,50176,401408,802816,100352,200704,-1,-1,-1,-1,-1,-1,-1,-1
bn3b_branch2a,12544,392,1568,3136,196,98,6272,784,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res3b_branch2b,-1,-1,-1,-1,-1,-1,-1,-1,112896,903168,1806336,225792,451584,-1,-1,-1,-1,-1,-1,-1,-1
bn3b_branch2b,12544,392,1568,3136,196,98,6272,784,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res3b_branch2c,-1,-1,-1,-1,-1,-1,-1,-1,50176,401408,802816,100352,200704,-1,-1,-1,-1,-1,-1,-1,-1
bn3b_branch2c,50176,1568,6272,12544,784,392,25088,3136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res3c_branch2a,-1,-1,-1,-1,-1,-1,-1,-1,50176,401408,802816,100352,200704,-1,-1,-1,-1,-1,-1,-1,-1
bn3c_branch2a,12544,392,1568,3136,196,98,6272,784,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res3c_branch2b,-1,-1,-1,-1,-1,-1,-1,-1,112896,903168,1806336,225792,451584,-1,-1,-1,-1,-1,-1,-1,-1
