taskname,start,end,duration,acclname
batch_normalization_56,19017907.0,19086015.0,68108.0,BatchNormalization1024
batch_normalization_53,19165868.0,19234274.0,68406.0,BatchNormalization1024
conv2d_57,19086015.0,19284846.0,198831.0,Conv2D1024
conv2d_54,19234274.0,19527828.0,293554.0,Conv2D512
batch_normalization_57,19284846.0,19353946.0,69100.0,BatchNormalization1024
batch_normalization_54,19527828.0,19610282.0,82454.0,BatchNormalization1024
conv2d_58,19353946.0,19564946.0,211000.0,Conv2D1024
batch_normalization_58,19610282.0,19679311.0,69029.0,BatchNormalization1024
conv2d_59,19679311.0,19910308.0,230997.0,Conv2D1024
batch_normalization_59,19910308.0,19991167.0,80859.0,BatchNormalization1024
conv2d_65,19991167.0,20297809.0,306642.0,Conv2D1024
conv2d_62,19991167.0,20298284.0,307117.0,Conv2D512
conv2d_61,19991167.0,20303509.0,312342.0,Conv2D256
conv2d_70,20297809.0,20602513.0,304704.0,Conv2D1024
batch_normalization_65,20297809.0,20378168.0,80359.0,BatchNormalization1024
batch_normalization_62,20378168.0,20459462.0,81294.0,BatchNormalization1024
batch_normalization_61,20459462.0,20539935.0,80473.0,BatchNormalization1024
batch_normalization_70,20602513.0,20682981.0,80468.0,BatchNormalization1024
conv2d_66,20602513.0,20887373.0,284860.0,Conv2D1024
conv2d_63,20459462.0,20797416.0,337954.0,Conv2D512
batch_normalization_66,20887373.0,20967466.0,80093.0,BatchNormalization1024
batch_normalization_63,20797416.0,20879086.0,81670.0,BatchNormalization1024
conv2d_67,20967466.0,21237733.0,270267.0,Conv2D1024
conv2d_64,20879086.0,21231364.0,352278.0,Conv2D512
batch_normalization_67,21237733.0,21318515.0,80782.0,BatchNormalization1024
batch_normalization_64,21318515.0,21399293.0,80778.0,BatchNormalization1024
conv2d_68,21318515.0,21603678.0,285163.0,Conv2D1024
batch_normalization_68,21603678.0,21685260.0,81582.0,BatchNormalization1024
conv2d_69,21685260.0,21956877.0,271617.0,Conv2D1024
batch_normalization_69,21956877.0,22037245.0,80368.0,BatchNormalization1024
conv2d_73,22037245.0,22341741.0,304496.0,Conv2D1024
conv2d_71,22037245.0,22343113.0,305868.0,Conv2D512
batch_normalization_73,22341741.0,22422909.0,81168.0,BatchNormalization1024
batch_normalization_71,22422909.0,22503705.0,80796.0,BatchNormalization1024
conv2d_74,22422909.0,22692455.0,269546.0,Conv2D1024
conv2d_72,22503705.0,22981382.0,477677.0,Conv2D512
batch_normalization_74,22692455.0,22772902.0,80447.0,BatchNormalization1024
batch_normalization_72,22981382.0,23011271.0,29889.0,BatchNormalization1024
conv2d_75,22772902.0,23059837.0,286935.0,Conv2D1024
batch_normalization_75,23059837.0,23140803.0,80966.0,BatchNormalization1024
conv2d_76,23140803.0,23429776.0,288973.0,Conv2D1024
batch_normalization_76,23429776.0,23450411.0,20635.0,BatchNormalization1024
conv2d_81,23450411.0,23942791.0,492380.0,Conv2D1024
conv2d_78,23450411.0,23880666.0,430255.0,Conv2D512
conv2d_77,23450411.0,23854714.0,404303.0,Conv2D256
conv2d_85,23450411.0,23757638.0,307227.0,Conv2D128
batch_normalization_81,23942791.0,23981494.0,38703.0,BatchNormalization1024
batch_normalization_78,23884002.0,23918127.0,34125.0,BatchNormalization1024
batch_normalization_77,23854714.0,23884002.0,29288.0,BatchNormalization1024
batch_normalization_85,23757638.0,23777219.0,19581.0,BatchNormalization1024
conv2d_82,23981494.0,25192615.0,1211121.0,Conv2D1024
conv2d_79,23918127.0,24294340.0,376213.0,Conv2D512
conv2d_80,23918127.0,24353505.0,435378.0,Conv2D256
batch_normalization_82,25192615.0,25227888.0,35273.0,BatchNormalization1024
batch_normalization_79,24294340.0,24330693.0,36353.0,BatchNormalization1024
batch_normalization_80,24353505.0,24386647.0,33142.0,BatchNormalization1024
conv2d_83,25227888.0,25603175.0,375287.0,Conv2D512
conv2d_84,25227888.0,25584775.0,356887.0,Conv2D1024
batch_normalization_83,25619648.0,25653394.0,33746.0,BatchNormalization1024
batch_normalization_84,25584775.0,25619648.0,34873.0,BatchNormalization1024
conv2d_90,25653394.0,26425103.0,771709.0,Conv2D1024
conv2d_87,25653394.0,26426269.0,772875.0,Conv2D256
conv2d_86,25653394.0,26239164.0,585770.0,Conv2D512
conv2d_94,25653394.0,26145198.0,491804.0,Conv2D128
batch_normalization_90,26425103.0,26464618.0,39515.0,BatchNormalization1024
batch_normalization_87,26464618.0,26499777.0,35159.0,BatchNormalization1024
batch_normalization_86,26239164.0,26268310.0,29146.0,BatchNormalization1024
batch_normalization_94,26145198.0,26164970.0,19772.0,BatchNormalization1024
conv2d_91,26464618.0,27675662.0,1211044.0,Conv2D1024
conv2d_88,26499777.0,26931218.0,431441.0,Conv2D256
conv2d_89,26499777.0,26880511.0,380734.0,Conv2D512
batch_normalization_91,27675662.0,27709357.0,33695.0,BatchNormalization1024
batch_normalization_88,26931218.0,26965422.0,34204.0,BatchNormalization1024
batch_normalization_89,26880511.0,26914982.0,34471.0,BatchNormalization1024
conv2d_92,27709357.0,28062634.0,353277.0,Conv2D1024
conv2d_93,27709357.0,28089912.0,380555.0,Conv2D512
batch_normalization_92,28062634.0,28097795.0,35161.0,BatchNormalization1024
batch_normalization_93,28097795.0,28133617.0,35822.0,BatchNormalization1024
predictions,28133617.0,29595633.0,1462016.0,Dense1024
