taskname,acclname
batch_normalization_81,BatchNormalization1024
conv2d_82,Conv2D1024
batch_normalization_79,BatchNormalization1024
batch_normalization_80,BatchNormalization1024
batch_normalization_82,BatchNormalization1024
conv2d_83,Conv2D512
conv2d_84,Conv2D1024
batch_normalization_84,BatchNormalization1024
batch_normalization_83,BatchNormalization1024
conv2d_90,Conv2D1024
conv2d_87,Conv2D256
conv2d_86,Conv2D512
conv2d_94,Conv2D128
batch_normalization_94,BatchNormalization1024
batch_normalization_86,BatchNormalization1024
batch_normalization_90,BatchNormalization1024
conv2d_91,Conv2D1024
batch_normalization_87,BatchNormalization1024
conv2d_88,Conv2D256
conv2d_89,Conv2D512
batch_normalization_89,BatchNormalization1024
batch_normalization_88,BatchNormalization1024
batch_normalization_91,BatchNormalization1024
conv2d_93,Conv2D512
conv2d_92,Conv2D1024
batch_normalization_92,BatchNormalization1024
batch_normalization_93,BatchNormalization1024
predictions,Dense1024
