taskname,acclname
conv2d_36,Conv2D1024
batch_normalization_32,BatchNormalization8
conv2d_33,Conv2D1024
batch_normalization_36,BatchNormalization8
conv2d_37,Conv2D1024
batch_normalization_33,BatchNormalization8
batch_normalization_37,BatchNormalization8
conv2d_38,Conv2D1024
conv2d_31,Conv2D1024
batch_normalization_38,BatchNormalization8
conv2d_34,Conv2D1024
batch_normalization_31,BatchNormalization8
conv2d_39,Conv2D1024
batch_normalization_34,BatchNormalization8
conv2d_40,Conv2D1024
batch_normalization_39,BatchNormalization8
batch_normalization_40,BatchNormalization8
conv2d_45,Conv2D1024
conv2d_42,Conv2D1024
batch_normalization_45,BatchNormalization8
conv2d_46,Conv2D1024
batch_normalization_42,BatchNormalization8
batch_normalization_46,BatchNormalization8
conv2d_47,Conv2D1024
batch_normalization_47,BatchNormalization8
conv2d_48,Conv2D1024
conv2d_43,Conv2D1024
batch_normalization_48,BatchNormalization8
conv2d_41,Conv2D1024
batch_normalization_43,BatchNormalization8
conv2d_49,Conv2D1024
batch_normalization_41,BatchNormalization8
conv2d_44,Conv2D1024
batch_normalization_49,BatchNormalization8
conv2d_50,Conv2D1024
batch_normalization_44,BatchNormalization8
batch_normalization_50,BatchNormalization8
conv2d_55,Conv2D1024
conv2d_52,Conv2D1024
batch_normalization_55,BatchNormalization8
conv2d_56,Conv2D1024
batch_normalization_52,BatchNormalization8
batch_normalization_56,BatchNormalization8
conv2d_57,Conv2D1024
conv2d_53,Conv2D1024
batch_normalization_57,BatchNormalization8
conv2d_58,Conv2D1024
batch_normalization_53,BatchNormalization8
conv2d_51,Conv2D1024
batch_normalization_58,BatchNormalization8
conv2d_60,Conv2D1024
batch_normalization_51,BatchNormalization8
conv2d_54,Conv2D1024
batch_normalization_60,BatchNormalization8
conv2d_59,Conv2D1024
batch_normalization_54,BatchNormalization8
batch_normalization_59,BatchNormalization8
conv2d_65,Conv2D1024
conv2d_62,Conv2D1024
batch_normalization_65,BatchNormalization8
conv2d_66,Conv2D1024
batch_normalization_62,BatchNormalization8
conv2d_61,Conv2D1024
batch_normalization_66,BatchNormalization8
conv2d_67,Conv2D1024
batch_normalization_61,BatchNormalization8
conv2d_70,Conv2D1024
batch_normalization_67,BatchNormalization8
conv2d_68,Conv2D1024
batch_normalization_70,BatchNormalization8
conv2d_63,Conv2D1024
batch_normalization_68,BatchNormalization8
conv2d_69,Conv2D1024
batch_normalization_63,BatchNormalization8
conv2d_64,Conv2D1024
batch_normalization_69,BatchNormalization8
batch_normalization_64,BatchNormalization8
conv2d_73,Conv2D1024
conv2d_71,Conv2D1024
batch_normalization_73,BatchNormalization8
conv2d_74,Conv2D1024
batch_normalization_71,BatchNormalization8
batch_normalization_74,BatchNormalization8
conv2d_75,Conv2D1024
conv2d_72,Conv2D1024
batch_normalization_75,BatchNormalization8
conv2d_76,Conv2D1024
batch_normalization_72,BatchNormalization8
batch_normalization_76,BatchNormalization8
conv2d_81,Conv2D1024
conv2d_78,Conv2D1024
batch_normalization_81,BatchNormalization8
conv2d_82,Conv2D1024
batch_normalization_78,BatchNormalization8
conv2d_77,Conv2D1024
batch_normalization_82,BatchNormalization8
conv2d_79,Conv2D1024
batch_normalization_77,BatchNormalization8
conv2d_84,Conv2D1024
batch_normalization_79,BatchNormalization8
conv2d_83,Conv2D1024
batch_normalization_84,BatchNormalization8
conv2d_80,Conv2D1024
batch_normalization_83,BatchNormalization8
conv2d_85,Conv2D1024
batch_normalization_80,BatchNormalization8
batch_normalization_85,BatchNormalization8
conv2d_90,Conv2D1024
conv2d_86,Conv2D1024
batch_normalization_90,BatchNormalization8
conv2d_87,Conv2D1024
batch_normalization_86,BatchNormalization8
conv2d_91,Conv2D1024
batch_normalization_87,BatchNormalization8
conv2d_89,Conv2D1024
batch_normalization_91,BatchNormalization8
conv2d_92,Conv2D1024
batch_normalization_89,BatchNormalization8
conv2d_88,Conv2D1024
batch_normalization_92,BatchNormalization8
conv2d_93,Conv2D1024
batch_normalization_88,BatchNormalization8
conv2d_94,Conv2D1024
batch_normalization_93,BatchNormalization8
batch_normalization_94,BatchNormalization8
predictions,Dense128
