task,BatchNormalization8,Conv2D1024,Dense128
conv2d_71,inf,305113,inf
batch_normalization_73,81004,inf,inf
batch_normalization_71,81299,inf,inf
conv2d_74,inf,269546,inf
conv2d_72,inf,453684,inf
batch_normalization_74,81551,inf,inf
batch_normalization_72,28984,inf,inf
conv2d_75,inf,286935,inf
batch_normalization_75,81685,inf,inf
conv2d_76,inf,288973,inf
batch_normalization_76,18981,inf,inf
conv2d_81,inf,492380,inf
conv2d_78,inf,429680,inf
conv2d_77,inf,370756,inf
conv2d_85,inf,246481,inf
batch_normalization_81,37873,inf,inf
batch_normalization_78,35036,inf,inf
batch_normalization_77,29176,inf,inf
batch_normalization_85,19664,inf,inf
conv2d_82,inf,1211121,inf
conv2d_79,inf,353123,inf
conv2d_80,inf,354420,inf
batch_normalization_82,34082,inf,inf
batch_normalization_79,35561,inf,inf
batch_normalization_80,34672,inf,inf
conv2d_83,inf,352744,inf
conv2d_84,inf,356887,inf
batch_normalization_83,33064,inf,inf
batch_normalization_84,32677,inf,inf
conv2d_90,inf,771709,inf
conv2d_87,inf,675657,inf
conv2d_86,inf,580905,inf
conv2d_94,inf,388146,inf
batch_normalization_90,41201,inf,inf
batch_normalization_87,33524,inf,inf
batch_normalization_86,30120,inf,inf
batch_normalization_94,19400,inf,inf
conv2d_91,inf,1211044,inf
conv2d_88,inf,353425,inf
conv2d_89,inf,354981,inf
batch_normalization_91,35043,inf,inf
batch_normalization_88,35280,inf,inf
batch_normalization_89,33032,inf,inf
conv2d_92,inf,353277,inf
conv2d_93,inf,354596,inf
batch_normalization_92,35703,inf,inf
batch_normalization_93,37502,inf,inf
predictions,inf,inf,1401812
